mode,scale,fromToken,fromHex,toToken,toHex,source,nearestDeltaE
light,blue,blue.0,#ddf4ff,blue.1,#ddf4ff,token-remap,0
light,blue,blue.1,#b6e3ff,blue.3,#bce1ff,token-remap,2.76
light,blue,blue.2,#80ccff,blue.4,#8dd6ff,nearest-color,6.54
light,blue,blue.3,#54aeff,blue.6,#55aeff,token-remap,0.17
light,blue,blue.4,#218bff,blue.8,#2b8cff,token-remap,0.87
light,blue,blue.5,#0969da,blue.9,#0064e3,token-remap,9.15
light,blue,blue.6,#0550ae,blue.10,#0055d5,token-remap,10.24
light,blue,blue.7,#033d8b,blue.12,#002f7a,nearest-color,6.34
light,blue,blue.8,#0a3069,blue.12,#002f7a,token-remap,9.99
light,blue,blue.9,#002155,blue.14,#001c4d,nearest-color,2.86
light,coral,coral.0,#fff0eb,coral.1,#fff0eb,nearest-color,0
light,coral,coral.1,#ffd6cc,coral.3,#ffd3c5,nearest-color,2.65
light,coral,coral.2,#ffb4a1,coral.5,#ffb091,nearest-color,7.02
light,coral,coral.3,#fd8c73,coral.6,#ff8864,token-remap,7.39
light,coral,coral.4,#ec6547,coral.6,#ff8864,nearest-color,13.2
light,coral,coral.5,#c4432b,coral.10,#a22710,nearest-color,10.71
light,coral,coral.6,#9e2f1c,coral.10,#a22710,nearest-color,7.05
light,coral,coral.7,#801f0f,coral.11,#801e0f,nearest-color,0.42
light,coral,coral.8,#691105,coral.12,#6b1c0c,nearest-color,3.89
light,coral,coral.9,#510901,coral.14,#500a00,nearest-color,0.75
light,green,green.0,#dafbe1,green.0,#ebf9f4,token-remap,12.87
light,green,green.1,#aceebb,green.1,#bfffd1,token-remap,6.9
light,green,green.2,#6fdd8b,green.3,#8cf2a6,nearest-color,9.07
light,green,green.3,#4ac26b,green.3,#8cf2a6,token-remap,11.88
light,green,green.4,#2da44e,green.4,#5fed83,token-remap,11.5
light,green,green.5,#1a7f37,green.5,#55db73,token-remap,1.92
light,green,green.6,#116329,green.6,#0fbf3e,token-remap,3.06
light,green,green.7,#044f1e,green.10,#0d6731,nearest-color,10.38
light,green,green.8,#003d16,green.11,#0e4a2e,nearest-color,9.51
light,green,green.9,#002d11,green.9,#137a33,token-remap,9.78
light,neutral,neutral.1,#f6f8fa,neutral.1,#f2f7f3,token-remap,2.25
light,neutral,neutral.2,#eff2f5,neutral.2,#e9f0eb,token-remap,3.93
light,neutral,neutral.3,#e6eaef,neutral.3,#d6e0d8,token-remap,5.53
light,neutral,neutral.4,#e0e6eb,neutral.4,#cbd6cd,token-remap,6.08
light,neutral,neutral.5,#dae0e7,neutral.5,#b8c4bc,token-remap,8.02
light,neutral,neutral.6,#d1d9e0,neutral.4,#cbd6cd,token-remap,8.14
light,neutral,neutral.7,#c8d1da,neutral.7,#859188,token-remap,9.63
light,neutral,neutral.8,#818b98,neutral.8,#6c786f,token-remap,12.7
light,neutral,neutral.9,#59636e,neutral.9,#616d64,token-remap,11.63
light,neutral,neutral.10,#454c54,neutral.11,#39423b,nearest-color,10.98
light,neutral,neutral.11,#393f46,neutral.11,#39423b,token-remap,8.17
light,neutral,neutral.12,#25292e,neutral.12,#353c37,token-remap,6.44
light,orange,orange.0,#fff1e5,orange.1,#fff1e5,token-remap,0
light,orange,orange.1,#ffd8b5,orange.3,#fcd5b8,token-remap,3.17
light,orange,orange.2,#ffb77c,orange.5,#f9b480,nearest-color,4.07
light,orange,orange.3,#fb8f44,orange.6,#ec9450,token-remap,3.69
light,orange,orange.4,#e16f24,orange.8,#da7210,nearest-color,7.07
light,orange,orange.5,#bc4c00,orange.9,#aa5200,token-remap,10.62
light,orange,orange.6,#953800,orange.10,#954502,token-remap,7.15
light,orange,orange.7,#762c00,orange.11,#703100,nearest-color,5.26
light,orange,orange.8,#5c2200,orange.12,#5c2300,nearest-color,0.63
light,orange,orange.9,#471700,orange.14,#471700,nearest-color,0
light,pink,pink.0,#ffeff7,pink.1,#fff0fc,token-remap,2.11
light,pink,pink.1,#ffd3eb,pink.2,#ffe5fd,nearest-color,8.23
light,pink,pink.2,#ffadda,pink.4,#fd9fe2,nearest-color,12.17
light,pink,pink.3,#ff80c8,pink.5,#f67ed2,token-remap,7.62
light,pink,pink.4,#e85aad,pink.5,#f67ed2,nearest-color,13.41
light,pink,pink.5,#bf3989,pink.9,#ca2186,token-remap,9.47
light,pink,pink.6,#99286e,pink.10,#952866,nearest-color,4.15
light,pink,pink.7,#772057,pink.11,#83255a,nearest-color,4.62
light,pink,pink.8,#611347,pink.12,#651643,nearest-color,4.48
light,pink,pink.9,#4d0336,pink.13,#4f1135,nearest-color,6.28
light,purple,purple.0,#fbefff,purple.1,#f9f1ff,token-remap,1.78
light,purple,purple.1,#ecd8ff,purple.3,#e9d5ff,nearest-color,1.88
light,purple,purple.2,#d8b9ff,purple.5,#d9b3ff,nearest-color,4.3
light,purple,purple.3,#c297ff,purple.6,#c898fd,token-remap,2.43
light,purple,purple.4,#a475f9,purple.8,#b169ff,token-remap,9.01
light,purple,purple.5,#8250df,purple.9,#8534f3,token-remap,13.05
light,purple,purple.6,#6639ba,purple.10,#6619e1,token-remap,12.69
light,purple,purple.7,#512a97,purple.12,#43179e,nearest-color,14.31
light,purple,purple.8,#3e1f79,purple.13,#26115f,nearest-color,9.88
light,purple,purple.9,#2e1461,purple.13,#26115f,nearest-color,2.33
light,red,red.0,#ffebe9,red.2,#ffebe9,token-remap,0
light,red,red.1,#ffcecb,red.3,#ffcecb,token-remap,0
light,red,red.2,#ffaba8,red.5,#ffaba8,nearest-color,0
light,red,red.3,#ff8182,red.6,#ff8182,token-remap,0
light,red,red.4,#fa4549,red.7,#fa4549,nearest-color,0
